"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","0","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","63","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
"skipped","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","1","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","169","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","0","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
"passed","Thu Feb 02 21:17:24 EET 2023","Thu Feb 02 21:17:24 EET 2023","82","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
